address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,price_reduction,price_increase,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"2422 N Ditman Ave, Los Angeles, CA 90032",90032,SINGLE_FAMILY,FOR_SALE,House for sale,829000.0,844482,,3140,3,2.0,1308,,,,-1,46 days on Zillow,DAYS_ON,20640021,20640021,https://www.zillow.com/homedetails/2422-N-Ditman-Ave-Los-Angeles-CA-90032/20640021_zpid/
"5342 3rd Ave, Los Angeles, CA 90043",90043,SINGLE_FAMILY,FOR_SALE,House for sale,622000.0,638000,,2878,3,2.0,898,,"$57,500 (Dec 8)",-57500,-1,"$57,500 (Dec 8)",PRICE_REDUCTION,20562977,20562977,https://www.zillow.com/homedetails/5342-3rd-Ave-Los-Angeles-CA-90043/20562977_zpid/
"22149 Victory Blvd, Canoga Park, CA 91303",91303,SINGLE_FAMILY,FOR_SALE,House for sale,1745000.0,1803000,,3994,4,3.0,1834,,,,-1,46 days on Zillow,DAYS_ON,19928005,19928005,https://www.zillow.com/homedetails/22149-Victory-Blvd-Canoga-Park-CA-91303/19928005_zpid/
"22143 Victory Blvd, Canoga Park, CA 91303",91303,SINGLE_FAMILY,FOR_SALE,House for sale,1745000.0,1802700,,3499,4,2.0,1890,,,,-1,46 days on Zillow,DAYS_ON,19928006,19928006,https://www.zillow.com/homedetails/22143-Victory-Blvd-Canoga-Park-CA-91303/19928006_zpid/
"646 W 24th St, San Pedro, CA 90731",90731,SINGLE_FAMILY,FOR_SALE,House for sale,850000.0,874500,,3499,3,2.0,1600,,,,-1,46 days on Zillow,DAYS_ON,21312871,21312871,https://www.zillow.com/homedetails/646-W-24th-St-San-Pedro-CA-90731/21312871_zpid/
"5441 Blackwelder St, Los Angeles, CA 90016",90016,SINGLE_FAMILY,FOR_SALE,House for sale,1675000.0,1691451,,3697,9,9.0,6000,,,,-1,46 days on Zillow,DAYS_ON,20585252,20585252,https://www.zillow.com/homedetails/5441-Blackwelder-St-Los-Angeles-CA-90016/20585252_zpid/
"4247 11th Ave, Los Angeles, CA 90008",90008,SINGLE_FAMILY,FOR_SALE,House for sale,960000.0,1010008,,3850,2,2.0,1528,,,,-1,3D Tour,3D_HOME,20575768,20575768,https://www.zillow.com/homedetails/4247-11th-Ave-Los-Angeles-CA-90008/20575768_zpid/
"530 W 93rd St, Los Angeles, CA 90044",90044,SINGLE_FAMILY,FOR_SALE,House for sale,650000.0,670100,,1500,4,2.0,1592,,,,-1,47 days on Zillow,DAYS_ON,20951519,20951519,https://www.zillow.com/homedetails/530-W-93rd-St-Los-Angeles-CA-90044/20951519_zpid/
"5628 Craner Ave, North Hollywood, CA 91601",91601,SINGLE_FAMILY,FOR_SALE,House for sale,1399000.0,1183400,,6950,6,3.0,2408,,,,-1,47 days on Zillow,DAYS_ON,20040311,20040311,https://www.zillow.com/homedetails/5628-Craner-Ave-North-Hollywood-CA-91601/20040311_zpid/
"8111 Andasol Ave, Northridge, CA 91325",91325,SINGLE_FAMILY,FOR_SALE,House for sale,875000.0,924012,,3998,4,3.0,1650,,,,-1,47 days on Zillow,DAYS_ON,19952092,19952092,https://www.zillow.com/homedetails/8111-Andasol-Ave-Northridge-CA-91325/19952092_zpid/
"27723 Knollridge Pl, San Pedro, CA 90732",90732,SINGLE_FAMILY,FOR_SALE,New construction,1053105.0,1072269,,,4,4.0,1874,,,13115,-1,3D Tour,3D_HOME,2067603607,2067603607,https://www.zillow.com/homedetails/27723-Knollridge-Pl-San-Pedro-CA-90732/2067603607_zpid/
"1312 N Mariposa Ave, Los Angeles, CA 90027",90027,SINGLE_FAMILY,FOR_SALE,House for sale,1549000.0,1549010,,5825,4,2.0,1934,,,-150000,-1,47 days on Zillow,DAYS_ON,20791897,20791897,https://www.zillow.com/homedetails/1312-N-Mariposa-Ave-Los-Angeles-CA-90027/20791897_zpid/
"2943 S Harvard Blvd, Los Angeles, CA 90018",90018,SINGLE_FAMILY,FOR_SALE,House for sale,1198750.0,,,3469,3,2.0,1420,,"$1,250 (Dec 5)",-1250,-1,"$1,250 (Dec 5)",PRICE_REDUCTION,20591854,20591854,https://www.zillow.com/homedetails/2943-S-Harvard-Blvd-Los-Angeles-CA-90018/20591854_zpid/
"507 N Sycamore Ave, Los Angeles, CA 90036",90036,SINGLE_FAMILY,FOR_SALE,House for sale,1590000.0,1590003,,5924,3,4.0,1760,,,,-1,47 days on Zillow,DAYS_ON,20784470,20784470,https://www.zillow.com/homedetails/507-N-Sycamore-Ave-Los-Angeles-CA-90036/20784470_zpid/
"1263 Westchester Pl, Los Angeles, CA 90019",90019,SINGLE_FAMILY,FOR_SALE,House for sale,1629000.0,1629002,,11999,8,7.0,4221,,,,-1,48 days on Zillow,DAYS_ON,20605490,20605490,https://www.zillow.com/homedetails/1263-Westchester-Pl-Los-Angeles-CA-90019/20605490_zpid/
"2170 Stanley Hills Dr, Los Angeles, CA 90046",90046,SINGLE_FAMILY,FOR_SALE,Foreclosure,950000.0,,,12175,4,3.0,2573,,,,-1,48 days on Zillow,DAYS_ON,20801587,20801587,https://www.zillow.com/homedetails/2170-Stanley-Hills-Dr-Los-Angeles-CA-90046/20801587_zpid/
