address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"3725 Conroy Rd APT 2115, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,145000.0,85000,94300,2018,4.062,1.09,137011,137011,1299,2,2.0,1036,2003,,30,30 days on Zillow,DAYS_ON,71086430,71086430,https://www.zillow.com/homedetails/3725-Conroy-Rd-APT-2115-Orlando-FL-32839/71086430_zpid/
"3719 South Lk # 3, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,136500.0,,,,4.062,1.09,128057,128057,1350,2,2.0,1103,2009,,30,30 days on Zillow,DAYS_ON,2081703355,2081703355,https://www.zillow.com/homedetails/3719-South-Lk-3-Orlando-FL-32808/2081703355_zpid/
"2200 Metropolitan Way UNIT 928, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,163000.0,64000,106900,2018,4.062,1.09,158438,158438,1400,3,2.0,1114,1994,,30,30 days on Zillow,DAYS_ON,71085509,71085509,https://www.zillow.com/homedetails/2200-Metropolitan-Way-UNIT-928-Orlando-FL-32839/71085509_zpid/
"860 N Orange Ave APT 377, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,190000.0,125400,135500,2018,4.062,1.09,180978,180978,1550,2,2.0,1004,2000,"$9,000 (Jan 13)",30,"$9,000 (Jan 13)",PRICE_REDUCTION,64768147,64768147,https://www.zillow.com/homedetails/860-N-Orange-Ave-APT-377-Orlando-FL-32801/64768147_zpid/
"2550 N Alafaya Trl APT 7204, Orlando, FL 32826",32826,CONDO,FOR_SALE,Condo for sale,145000.0,178000,100700,2018,4.062,1.09,137801,137801,1220,2,2.0,1007,1989,,31,31 days on Zillow,DAYS_ON,71093724,71093724,https://www.zillow.com/homedetails/2550-N-Alafaya-Trl-APT-7204-Orlando-FL-32826/71093724_zpid/
"4353 S Semoran Blvd APT 7, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,125000.0,79500,64200,2018,4.681,1.09,117153,117153,1300,3,2.0,1426,1974,,31,31 days on Zillow,DAYS_ON,71092277,71092277,https://www.zillow.com/homedetails/4353-S-Semoran-Blvd-APT-7-Orlando-FL-32822/71092277_zpid/
"911 N Orange Ave APT 320, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,170000.0,59750,126500,2018,4.062,1.09,164595,164595,1250,1,1.0,806,2002,,31,3D Home,3D_HOME,71073496,71073496,https://www.zillow.com/homedetails/911-N-Orange-Ave-APT-320-Orlando-FL-32801/71073496_zpid/
"911 N Orange Ave APT 342, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,180000.0,239100,144300,2018,4.062,1.09,174601,174601,1350,1,1.0,931,2002,,31,3D Home,3D_HOME,71083638,71083638,https://www.zillow.com/homedetails/911-N-Orange-Ave-APT-342-Orlando-FL-32801/71083638_zpid/
"14316 Fredricksburg Dr APT 507, Orlando, FL 32837",32837,CONDO,FOR_SALE,Condo for sale,172900.0,73000,114500,2018,4.062,1.09,167083,167083,1350,2,2.0,1041,1998,,31,31 days on Zillow,DAYS_ON,71074526,71074526,https://www.zillow.com/homedetails/14316-Fredricksburg-Dr-APT-507-Orlando-FL-32837/71074526_zpid/
"1063 S Hiawassee Rd APT 1618, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,144500.0,55000,78800,2018,4.062,1.09,134238,134238,1250,2,2.0,829,1989,,31,31 days on Zillow,DAYS_ON,71078122,71078122,https://www.zillow.com/homedetails/1063-S-Hiawassee-Rd-APT-1618-Orlando-FL-32835/71078122_zpid/
"4325 Hector Ct APT 5, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,120000.0,25300,52600,2018,4.681,1.09,110734,110734,1200,2,2.0,997,1987,"$5,000 (Jan 7)",31,"$5,000 (Jan 7)",PRICE_REDUCTION,71092443,71092443,https://www.zillow.com/homedetails/4325-Hector-Ct-APT-5-Orlando-FL-32822/71092443_zpid/
"309 N Normandale Ave, Orlando, FL 32835",32835,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure,182431.0,,93278,2018,4.062,1.09,182431,182431,1436,4,2.0,,1960,,31,31 days on Zillow,DAYS_ON,46194516,46194516,https://www.zillow.com/homedetails/309-N-Normandale-Ave-Orlando-FL-32835/46194516_zpid/
"9330 Flowering Cottonwood Rd # 8, Orlando, FL 32832",32832,CONDO,FOR_SALE,Condo for sale,195000.0,140000,121000,2018,4.062,1.09,188846,188846,1400,2,3.0,1071,2005,,32,32 days on Zillow,DAYS_ON,71094513,71094513,https://www.zillow.com/homedetails/9330-Flowering-Cottonwood-Rd-8-Orlando-FL-32832/71094513_zpid/
"9805 Swaps Ln APT 1, Orlando, FL 32837",32837,CONDO,FOR_SALE,Condo for sale,148000.0,41000,78700,2018,4.062,1.09,138080,138080,1190,2,2.0,905,1985,,32,32 days on Zillow,DAYS_ON,71088115,71088115,https://www.zillow.com/homedetails/9805-Swaps-Ln-APT-1-Orlando-FL-32837/71088115_zpid/
"6388 Raleigh St APT 2714, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,142900.0,77000,92400,2018,4.062,1.09,133775,133775,1300,2,2.0,1062,1997,"$7,000 (Jan 2)",32,"$7,000 (Jan 2)",PRICE_REDUCTION,71071959,71071959,https://www.zillow.com/homedetails/6388-Raleigh-St-APT-2714-Orlando-FL-32835/71071959_zpid/
"5835 Talavera St, Orlando, FL 32807",32807,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure,169157.0,155000,109778,2018,4.062,1.09,169157,169157,1370,3,2.0,,1986,,32,32 days on Zillow,DAYS_ON,46253915,46253915,https://www.zillow.com/homedetails/5835-Talavera-St-Orlando-FL-32807/46253915_zpid/
"3263 Wolcott Pl, Orlando, FL 32805",32805,SINGLE_FAMILY,FOR_SALE,Foreclosure,183000.0,90000,87494,2018,4.062,1.09,,,1550,3,2.0,1919,1962,,33,33 days on Zillow,DAYS_ON,46245878,46245878,https://www.zillow.com/homedetails/3263-Wolcott-Pl-Orlando-FL-32805/46245878_zpid/
"5448 Wood Crossing St, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,199999.0,171000,107648,2018,4.062,1.09,190183,190183,1400,4,2.0,1368,2000,"$16,000 (Jan 6)",33,"$16,000 (Jan 6)",PRICE_REDUCTION,46232541,46232541,https://www.zillow.com/homedetails/5448-Wood-Crossing-St-Orlando-FL-32811/46232541_zpid/
"6151 Metrowest Blvd UNIT 106, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,119500.0,73000,73100,2018,4.681,1.09,111379,111379,1025,1,1.0,731,2004,,33,33 days on Zillow,DAYS_ON,71079314,71079314,https://www.zillow.com/homedetails/6151-Metrowest-Blvd-UNIT-106-Orlando-FL-32835/71079314_zpid/
"4356 S Kirkman Rd UNIT 504, Orlando, FL 32811",32811,TOWNHOUSE,FOR_SALE,Townhouse for sale,110000.0,28000,63900,2018,4.681,1.09,103016,103016,1050,1,1.0,779,1997,,34,34 days on Zillow,DAYS_ON,71080184,71080184,https://www.zillow.com/homedetails/4356-S-Kirkman-Rd-UNIT-504-Orlando-FL-32811/71080184_zpid/
"754 Golden Sunshine Cir, Orlando, FL 32807",32807,SINGLE_FAMILY,FOR_SALE,House for sale,189900.0,29200,117166,2018,4.062,1.09,180857,180857,1350,3,2.0,1312,1985,"$5,000 (Jan 13)",35,"$5,000 (Jan 13)",PRICE_REDUCTION,46174634,46174634,https://www.zillow.com/homedetails/754-Golden-Sunshine-Cir-Orlando-FL-32807/46174634_zpid/
"- N Forsyth Rd, Orlando, FL 32807",32807,LOT,FOR_SALE,Lot / Land for sale,115000.0,70000,28000,2018,4.681,1.09,,,,,,,-1,,35,35 days on Zillow,DAYS_ON,99728400,99728400,https://www.zillow.com/homedetails/-N-Forsyth-Rd-Orlando-FL-32807/99728400_zpid/
"2798 Curry Ford Rd UNIT C, Orlando, FL 32806",32806,CONDO,FOR_SALE,Condo for sale,156000.0,,,,4.062,1.09,149190,149190,1350,2,2.0,1053,1973,,35,35 days on Zillow,DAYS_ON,2087048143,2087048143,https://www.zillow.com/homedetails/2798-Curry-Ford-Rd-UNIT-C-Orlando-FL-32806/2087048143_zpid/
"5635 Devonbriar Way APT K-201, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,130000.0,94000,75900,2018,4.062,1.09,125085,125085,1350,3,2.0,1150,1987,,35,35 days on Zillow,DAYS_ON,71091825,71091825,https://www.zillow.com/homedetails/5635-Devonbriar-Way-APT-K-201-Orlando-FL-32822/71091825_zpid/
"3561 Conroy Rd APT 211, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,175000.0,103000,106800,2018,4.062,1.09,171758,171758,1350,2,2.0,1174,2003,,35,35 days on Zillow,DAYS_ON,71086120,71086120,https://www.zillow.com/homedetails/3561-Conroy-Rd-APT-211-Orlando-FL-32839/71086120_zpid/
"911 N Orange Ave APT 114, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,189999.0,125200,138800,2018,4.062,1.09,186401,186401,1550,2,2.0,1147,2002,,35,35 days on Zillow,DAYS_ON,71083535,71083535,https://www.zillow.com/homedetails/911-N-Orange-Ave-APT-114-Orlando-FL-32801/71083535_zpid/
"5618 Eggleston Ave, Orlando, FL 32810",32810,SINGLE_FAMILY,FOR_SALE,House for sale,199900.0,123000,110424,2018,4.062,1.09,194997,194997,1300,3,2.0,1025,1960,,35,35 days on Zillow,DAYS_ON,46045546,46045546,https://www.zillow.com/homedetails/5618-Eggleston-Ave-Orlando-FL-32810/46045546_zpid/
"3270 S Semoran Blvd UNIT 24, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,128765.0,60000,58000,2018,4.062,1.09,123980,123980,1200,2,2.0,828,1973,"$3,235 (Jan 16)",35,"$3,235 (Jan 16)",PRICE_REDUCTION,46057931,46057931,https://www.zillow.com/homedetails/3270-S-Semoran-Blvd-UNIT-24-Orlando-FL-32822/46057931_zpid/
"4405 Buckeye Ct, Orlando, FL 32804",32804,SINGLE_FAMILY,FOR_SALE,House for sale,149000.0,65000,26784,2018,4.062,1.09,142080,142080,1159,1,1.0,640,1940,"$10,000 (Dec 18)",35,"$10,000 (Dec 18)",PRICE_REDUCTION,46045113,46045113,https://www.zillow.com/homedetails/4405-Buckeye-Ct-Orlando-FL-32804/46045113_zpid/
"1956 Lake Atriums Cir APT 142, Orlando, FL 32839",32839,MULTI_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,95729.0,161000,57900,2018,4.681,1.09,95729,95729,1275,3,2.0,1158,1986,,35,35 days on Zillow,DAYS_ON,71084910,71084910,https://www.zillow.com/homedetails/1956-Lake-Atriums-Cir-APT-142-Orlando-FL-32839/71084910_zpid/
"9903 Triple Crown Cir, Orlando, FL 32825",32825,SINGLE_FAMILY,FOR_SALE,Foreclosure,200000.0,148000,163273,2018,4.062,1.09,202617,202617,1657,3,3.0,1456,1990,"$10,000 (Jan 16)",36,"$10,000 (Jan 16)",PRICE_REDUCTION,46066961,46066961,https://www.zillow.com/homedetails/9903-Triple-Crown-Cir-Orlando-FL-32825/46066961_zpid/
"6466 Cava Alta Dr UNIT 101, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,178000.0,65000,116000,2018,4.062,1.09,174010,174010,1550,3,2.0,1247,2005,,36,36 days on Zillow,DAYS_ON,71079566,71079566,https://www.zillow.com/homedetails/6466-Cava-Alta-Dr-UNIT-101-Orlando-FL-32835/71079566_zpid/
"9918 Turf Way APT 6, Orlando, FL 32837",32837,CONDO,FOR_SALE,Condo for sale,136900.0,67700,78700,2018,4.062,1.09,129032,129032,1175,2,2.0,905,1985,,37,37 days on Zillow,DAYS_ON,71087948,71087948,https://www.zillow.com/homedetails/9918-Turf-Way-APT-6-Orlando-FL-32837/71087948_zpid/
"4528 Commander Dr APT 2035, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,115000.0,65000,62600,2018,4.681,1.09,112278,112278,1100,2,1.0,934,1990,,37,37 days on Zillow,DAYS_ON,71092791,71092791,https://www.zillow.com/homedetails/4528-Commander-Dr-APT-2035-Orlando-FL-32822/71092791_zpid/
"6067 Porpoise Ln # 3034, Orlando, FL",32822,SINGLE_FAMILY,FOR_SALE,New construction,116995.0,,,,4.681,1.09,116995,116995,1610,3,2.0,1456,2020,,37,Open: Mon - Fri: 8:00 A...,OPEN_HOUSE,2081773185,2081773185,https://www.zillow.com/homedetails/6067-Porpoise-Ln-3034-Orlando-FL-32822/2081773185_zpid/
"1620 Little River Dr # 15, Orlando, FL 32807",32807,TOWNHOUSE,FOR_SALE,Townhouse for sale,129900.0,49000,90800,2018,4.062,1.09,121500,121500,1200,2,3.0,1227,1984,"$7,100 (Jan 8)",38,"$7,100 (Jan 8)",PRICE_REDUCTION,46049145,46049145,https://www.zillow.com/homedetails/1620-Little-River-Dr-15-Orlando-FL-32807/46049145_zpid/
"5432 Davisson Ave, Orlando, FL 32810",32810,SINGLE_FAMILY,FOR_SALE,House for sale,183000.0,15600,111623,2018,4.062,1.09,175110,175110,1395,3,1.5,1234,1960,"$2,000 (Jan 10)",38,Open: Fri. 8am-9pm,OPEN_HOUSE,46045561,46045561,https://www.zillow.com/homedetails/5432-Davisson-Ave-Orlando-FL-32810/46045561_zpid/
"911 N Orange Ave APT 215, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,195000.0,73000,134200,2018,4.062,1.09,190866,190866,1550,2,2.0,1109,2002,,38,38 days on Zillow,DAYS_ON,71083574,71083574,https://www.zillow.com/homedetails/911-N-Orange-Ave-APT-215-Orlando-FL-32801/71083574_zpid/
"4795 Lake Ridge Rd, Orlando, FL 32808",32808,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure,168003.0,77000,102334,2018,4.062,1.09,168003,168003,1405,3,2.0,,1978,,38,38 days on Zillow,DAYS_ON,46068014,46068014,https://www.zillow.com/homedetails/4795-Lake-Ridge-Rd-Orlando-FL-32808/46068014_zpid/
"2484 San Tecla St UNIT 307, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,189000.0,145000,109000,2018,4.062,1.09,185808,185808,1400,2,2.0,1112,2005,,39,39 days on Zillow,DAYS_ON,71072536,71072536,https://www.zillow.com/homedetails/2484-San-Tecla-St-UNIT-307-Orlando-FL-32835/71072536_zpid/
"2514 Grand Central Pkwy APT 12, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,186000.0,199500,134000,2018,4.062,1.09,181517,181517,1750,3,2.0,1457,2006,,39,39 days on Zillow,DAYS_ON,71085789,71085789,https://www.zillow.com/homedetails/2514-Grand-Central-Pkwy-APT-12-Orlando-FL-32839/71085789_zpid/
"1219 W Kaley Ave, Orlando, FL 32805",32805,SINGLE_FAMILY,FOR_SALE,House for sale,106000.0,27000,27911,2018,4.681,1.09,101121,101121,1199,2,1.0,729,1951,,39,39 days on Zillow,DAYS_ON,46047331,46047331,https://www.zillow.com/homedetails/1219-W-Kaley-Ave-Orlando-FL-32805/46047331_zpid/
"6076 Westgate Dr APT 104, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,123000.0,101100,77800,2018,4.681,1.09,115634,115634,1175,2,1.0,864,1988,,39,39 days on Zillow,DAYS_ON,71077760,71077760,https://www.zillow.com/homedetails/6076-Westgate-Dr-APT-104-Orlando-FL-32835/71077760_zpid/
"4188 Gallimore St, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,105000.0,,75106,2018,4.681,1.09,,,1200,3,1.0,1035,1963,,40,40 days on Zillow,DAYS_ON,46063929,46063929,https://www.zillow.com/homedetails/4188-Gallimore-St-Orlando-FL-32811/46063929_zpid/
"151 E Washington St UNIT 301, Orlando, FL 32801",32801,CONDO,FOR_SALE,Condo for sale,147900.0,140000,81505,2018,4.062,1.09,138423,138423,1150,1,1.0,554,1963,"$2,000 (Jan 3)",41,Open: Sun. 11am-2pm,OPEN_HOUSE,71067789,71067789,https://www.zillow.com/homedetails/151-E-Washington-St-UNIT-301-Orlando-FL-32801/71067789_zpid/
"6909 Castillo Ct, Orlando, FL 32822",32822,MANUFACTURED,FOR_SALE,Home for sale,165000.0,25000,40294,2018,4.062,1.09,159527,159527,1400,4,2.0,1600,1982,,41,41 days on Zillow,DAYS_ON,46134678,46134678,https://www.zillow.com/homedetails/6909-Castillo-Ct-Orlando-FL-32822/46134678_zpid/
"4695 Watch Hill Rd # 1, Orlando, FL 32808",32808,SINGLE_FAMILY,FOR_SALE,House for sale,194000.0,,,,4.062,1.09,186702,186702,1250,3,2.0,1020,1978,"$11,000 (Jan 2)",41,"$11,000 (Jan 2)",PRICE_REDUCTION,2081805145,2081805145,https://www.zillow.com/homedetails/4695-Watch-Hill-Rd-1-Orlando-FL-32808/2081805145_zpid/
"4532 Commander Dr, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,106000.0,,,,4.681,1.09,101887,101887,1149,1,1.0,735,1990,,41,41 days on Zillow,DAYS_ON,2104545178,2104545178,https://www.zillow.com/homedetails/4532-Commander-Dr-Orlando-FL-32822/2104545178_zpid/
"9919 Turf Ct APT 5, Orlando, FL 32837",32837,CONDO,FOR_SALE,Condo for sale,137000.0,25000,78700,2018,4.062,1.09,130781,130781,1200,2,2.0,905,1985,,41,41 days on Zillow,DAYS_ON,71088017,71088017,https://www.zillow.com/homedetails/9919-Turf-Ct-APT-5-Orlando-FL-32837/71088017_zpid/
"4744 Walden Cir # 18, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,125000.0,82500,58100,2018,4.681,1.09,120220,120220,1245,2,2.0,1020,1988,,42,42 days on Zillow,DAYS_ON,71086656,71086656,https://www.zillow.com/homedetails/4744-Walden-Cir-18-Orlando-FL-32811/71086656_zpid/
"4752 Walden Cir # 31, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,125000.0,80000,58100,2018,4.681,1.09,120221,120221,1239,2,2.0,1020,1988,,42,42 days on Zillow,DAYS_ON,71086618,71086618,https://www.zillow.com/homedetails/4752-Walden-Cir-31-Orlando-FL-32811/71086618_zpid/
"1609 Gattis Dr # 1, Orlando, FL 32825",32825,SINGLE_FAMILY,FOR_SALE,House for sale,199000.0,,,,4.062,1.09,190589,190589,,3,2.0,1220,1956,,42,42 days on Zillow,DAYS_ON,2081810891,2081810891,https://www.zillow.com/homedetails/1609-Gattis-Dr-1-Orlando-FL-32825/2081810891_zpid/
"4649 Cason Cove Dr APT 2524, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,110000.0,31000,56000,2018,4.681,1.09,105890,105890,1050,1,1.0,700,1988,,42,42 days on Zillow,DAYS_ON,82104770,82104770,https://www.zillow.com/homedetails/4649-Cason-Cove-Dr-APT-2524-Orlando-FL-32811/82104770_zpid/
"310 Wilmer Ave, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,For sale by owner,175000.0,43900,76199,2018,4.062,1.09,180658,180658,1475,4,2.0,1788,1959,,43,43 days on Zillow,DAYS_ON,46226652,46226652,https://www.zillow.com/homedetails/310-Wilmer-Ave-Orlando-FL-32811/46226652_zpid/
"4620 Drummond Ln, Orlando, FL 32810",32810,SINGLE_FAMILY,FOR_SALE,For sale by owner,147500.0,35000,67941,2018,4.062,1.09,135569,135569,1238,3,2.0,960,1959,,43,43 days on Zillow,DAYS_ON,46237488,46237488,https://www.zillow.com/homedetails/4620-Drummond-Ln-Orlando-FL-32810/46237488_zpid/
"1462 Holden Ave # 6, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,70000.0,,,,4.681,1.09,65544,65544,1099,1,1.0,650,1971,"$10,000 (Jan 14)",43,"$10,000 (Jan 14)",PRICE_REDUCTION,2081830880,2081830880,https://www.zillow.com/homedetails/1462-Holden-Ave-6-Orlando-FL-32839/2081830880_zpid/
"1138 Narcissus Ln, Orlando, FL 32825",32825,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure,183642.0,180000,117801,2018,4.062,1.09,183642,183642,1250,3,1.0,,1962,,43,43 days on Zillow,DAYS_ON,46162560,46162560,https://www.zillow.com/homedetails/1138-Narcissus-Ln-Orlando-FL-32825/46162560_zpid/
"4630 Commander Dr # 10, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,109999.0,,,,4.681,1.09,104085,114889,1300,2,2.0,1054,1990,"$9,501 (Jan 16)",44,"$9,501 (Jan 16)",PRICE_REDUCTION,2081833021,2081833021,https://www.zillow.com/homedetails/4630-Commander-Dr-10-Orlando-FL-32822/2081833021_zpid/
"4923 Cutler St, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,139000.0,78000,97423,2018,4.062,1.09,137728,137728,1299,4,2.0,1556,1970,,44,44 days on Zillow,DAYS_ON,46232905,46232905,https://www.zillow.com/homedetails/4923-Cutler-St-Orlando-FL-32811/46232905_zpid/
"6136 Westgate Dr APT 302, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,114000.0,53500,77400,2018,4.681,1.09,107159,107159,1125,1,1.0,1228,1988,,44,Video Walkthrough,VIDEO_WALKTHROUGH,71077636,71077636,https://www.zillow.com/homedetails/6136-Westgate-Dr-APT-302-Orlando-FL-32835/71077636_zpid/
"2899 Stallion Dr, Orlando, FL",32822,SINGLE_FAMILY,FOR_SALE,New construction,54900.0,,,,4.681,1.09,53494,53494,1577,3,2.0,1400,2020,,44,44 days on Zillow,DAYS_ON,2102248863,2102248863,https://www.zillow.com/homedetails/2899-Stallion-Dr-Orlando-FL-32822/2102248863_zpid/
"6517 Horse Shoe Bnd, Orlando, FL",32822,SINGLE_FAMILY,FOR_SALE,New construction,102900.0,,,,4.681,1.09,98350,98350,1466,3,2.0,1393,2020,$799 (Jan 14),44,44 days on Zillow,DAYS_ON,2085219309,2085219309,https://www.zillow.com/homedetails/6517-Horse-Shoe-Bnd-Orlando-FL-32822/2085219309_zpid/
"4300 Colony Way, Orlando, FL 32808",32808,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure,124250.0,25000,60571,2018,4.681,1.09,124250,124250,1250,2,1.0,,1965,,44,44 days on Zillow,DAYS_ON,46161344,46161344,https://www.zillow.com/homedetails/4300-Colony-Way-Orlando-FL-32808/46161344_zpid/
"12900 Lake Mary Jane Rd, Orlando, FL 32832",32832,LOT,FOR_SALE,Lot / Land for sale,185000.0,75000,60000,2018,4.062,1.09,,,,,,,-1,,45,45 days on Zillow,DAYS_ON,99695391,99695391,https://www.zillow.com/homedetails/12900-Lake-Mary-Jane-Rd-Orlando-FL-32832/99695391_zpid/
"2022 W Livingston St, Orlando, FL 32805",32805,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,170281.0,25000,120533,2018,4.062,1.09,170281,170281,1445,3,1.5,,1957,,45,45 days on Zillow,DAYS_ON,46210018,46210018,https://www.zillow.com/homedetails/2022-W-Livingston-St-Orlando-FL-32805/46210018_zpid/
"7443 Radiant Cir, Orlando, FL 32810",32810,SINGLE_FAMILY,FOR_SALE,House for sale,198000.0,78000,142331,2018,4.062,1.09,187310,187310,1595,3,2.0,1269,1986,"$2,000 (Jan 14)",46,"$2,000 (Jan 14)",PRICE_REDUCTION,46263544,46263544,https://www.zillow.com/homedetails/7443-Radiant-Cir-Orlando-FL-32810/46263544_zpid/
"2917 Nowak Dr, Orlando, FL",32804,MANUFACTURED,FOR_SALE,New construction,82900.0,,,,4.681,1.09,80461,80461,1300,3,2.0,1248,2019,,46,46 days on Zillow,DAYS_ON,2081948994,2081948994,https://www.zillow.com/homedetails/2917-Nowak-Dr-Orlando-FL-32804/2081948994_zpid/
"4464 Prince Hall Blvd, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,184800.0,117500,105981,2018,4.062,1.09,177299,177299,1400,3,2.0,1250,1969,$100 (Jan 14),46,$100 (Jan 14),PRICE_REDUCTION,46063427,46063427,https://www.zillow.com/homedetails/4464-Prince-Hall-Blvd-Orlando-FL-32811/46063427_zpid/
"2909 Nowak Dr, Orlando, FL",32804,MANUFACTURED,FOR_SALE,New construction,79900.0,,,,4.681,1.09,77189,77189,1300,3,2.0,1248,2019,,46,46 days on Zillow,DAYS_ON,2082007202,2082007202,https://www.zillow.com/homedetails/2909-Nowak-Dr-Orlando-FL-32804/2082007202_zpid/
"1935 S Conway Rd APT E8, Orlando, FL 32812",32812,CONDO,FOR_SALE,Condo for sale,129000.0,,,,4.062,1.09,125385,125385,1295,2,2.0,952,1969,,46,46 days on Zillow,DAYS_ON,2125075450,2125075450,https://www.zillow.com/homedetails/1935-S-Conway-Rd-APT-E8-Orlando-FL-32812/2125075450_zpid/
"3832 Southpointe Dr # L-3, Orlando, FL 32822",32822,CONDO,PRE_FORECLOSURE,Pre-foreclosure / Auction,120652.0,150000,70500,2018,4.681,1.09,120652,120652,1200,2,2.0,820,1983,,46,46 days on Zillow,DAYS_ON,46096927,46096927,https://www.zillow.com/homedetails/3832-Southpointe-Dr-L-3-Orlando-FL-32822/46096927_zpid/
"3900 Southpointe Dr UNIT 101, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,119000.0,107900,54100,2018,4.681,1.09,113367,113367,1100,1,1.0,712,1993,,47,Video Walkthrough,VIDEO_WALKTHROUGH,46096655,46096655,https://www.zillow.com/homedetails/3900-Southpointe-Dr-UNIT-101-Orlando-FL-32822/46096655_zpid/
"1946 Conway Rd APT 5, Orlando, FL 32812",32812,CONDO,FOR_SALE,Condo for sale,124000.0,113900,70700,2018,4.681,1.09,120245,120245,1250,2,2.0,1240,1970,,50,50 days on Zillow,DAYS_ON,71091554,71091554,https://www.zillow.com/homedetails/1946-Conway-Rd-APT-5-Orlando-FL-32812/71091554_zpid/
"6550 Time Square Ave APT 102, Orlando, FL 32835",32835,TOWNHOUSE,FOR_SALE,Townhouse for sale,167000.0,100000,126900,2018,4.062,1.09,164615,164615,1553,2,3.0,1548,2000,,51,51 days on Zillow,DAYS_ON,64542744,64542744,https://www.zillow.com/homedetails/6550-Time-Square-Ave-APT-102-Orlando-FL-32835/64542744_zpid/
"3023 Johnny St, Orlando, FL 32817",32817,SINGLE_FAMILY,FOR_SALE,House for sale,175000.0,128900,157908,2018,4.062,1.09,170379,170379,1547,3,2.0,1970,1965,,51,51 days on Zillow,DAYS_ON,46083451,46083451,https://www.zillow.com/homedetails/3023-Johnny-St-Orlando-FL-32817/46083451_zpid/
"1055 S Hiawassee Rd APT 2024, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,125000.0,55000,59600,2018,4.681,1.09,121304,121304,1075,1,1.0,627,1989,,52,52 days on Zillow,DAYS_ON,71078174,71078174,https://www.zillow.com/homedetails/1055-S-Hiawassee-Rd-APT-2024-Orlando-FL-32835/71078174_zpid/
"4515 Wheatley St, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,Foreclosure,164900.0,175000,97640,2018,4.062,1.09,157691,157691,1309,4,2.0,1325,1967,"$25,000 (Jan 12)",52,"$25,000 (Jan 12)",PRICE_REDUCTION,46064136,46064136,https://www.zillow.com/homedetails/4515-Wheatley-St-Orlando-FL-32811/46064136_zpid/
"1518 Sunridge Rd, Orlando, FL 32808",32808,SINGLE_FAMILY,FOR_SALE,House for sale,197900.0,126000,62013,2018,4.062,1.09,192653,192653,1340,3,2.0,1189,1965,,52,52 days on Zillow,DAYS_ON,46151244,46151244,https://www.zillow.com/homedetails/1518-Sunridge-Rd-Orlando-FL-32808/46151244_zpid/
