address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"4744 Walden Cir # 26, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,72000.0,32500,39200,2018,4.681,1.09,,,950,1,1.0,560,1988,,7,7 days on Zillow,DAYS_ON,71086662,71086662,https://www.zillow.com/homedetails/4744-Walden-Cir-26-Orlando-FL-32811/71086662_zpid/
"5914 Porpoise Ln, Orlando, FL 32822",32822,MANUFACTURED,FOR_SALE,Home for sale,59900.0,,,,4.681,1.09,,,,3,2.0,1568,1995,,7,7 days on Zillow,DAYS_ON,2081496686,2081496686,https://www.zillow.com/homedetails/5914-Porpoise-Ln-Orlando-FL-32822/2081496686_zpid/
"1705 Kingsmill Dr # 956, Orlando, FL 32826",32826,MANUFACTURED,FOR_SALE,Home for sale,59900.0,,,,4.681,1.09,,,,3,2.0,1560,1983,,7,7 days on Zillow,DAYS_ON,2083556466,2083556466,https://www.zillow.com/homedetails/1705-Kingsmill-Dr-956-Orlando-FL-32826/2083556466_zpid/
"5206 Grandview Dr, Orlando, FL 32808",32808,SINGLE_FAMILY,FOR_SALE,House for sale,169900.0,110000,77335,2018,4.062,1.09,157654,157654,1300,3,2.0,1139,1959,,7,7 days on Zillow,DAYS_ON,46072901,46072901,https://www.zillow.com/homedetails/5206-Grandview-Dr-Orlando-FL-32808/46072901_zpid/
"6945 Mediterranean Rd, Orlando, FL 32822",32822,MANUFACTURED,FOR_SALE,Home for sale,155000.0,63000,45885,2018,4.062,1.09,144902,144902,1395,3,2.0,1424,1974,,7,7 days on Zillow,DAYS_ON,46134504,46134504,https://www.zillow.com/homedetails/6945-Mediterranean-Rd-Orlando-FL-32822/46134504_zpid/
"1033 Royal Palm Ave, Orlando, FL 32809",32809,SINGLE_FAMILY,FOR_SALE,House for sale,189900.0,,54127,2018,4.062,1.09,177707,177707,1250,3,1.0,1050,1958,,7,7 days on Zillow,DAYS_ON,46198538,46198538,https://www.zillow.com/homedetails/1033-Royal-Palm-Ave-Orlando-FL-32809/46198538_zpid/
"5124 Conroy Rd UNIT 633, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,95000.0,,,,4.681,1.09,,,,1,1.0,711,1988,,7,7 days on Zillow,DAYS_ON,2081499200,2081499200,https://www.zillow.com/homedetails/5124-Conroy-Rd-UNIT-633-Orlando-FL-32811/2081499200_zpid/
"5029 City St APT 1831, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,104900.0,65000,60700,2018,4.681,1.09,96942,96942,1050,1,1.0,619,1997,,7,7 days on Zillow,DAYS_ON,71085319,71085319,https://www.zillow.com/homedetails/5029-City-St-APT-1831-Orlando-FL-32839/71085319_zpid/
"6169 Metrowest Blvd UNIT 104, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,170100.0,76000,106700,2018,4.062,1.09,160129,160129,1450,3,2.0,1285,2004,,8,8 days on Zillow,DAYS_ON,71072478,71072478,https://www.zillow.com/homedetails/6169-Metrowest-Blvd-UNIT-104-Orlando-FL-32835/71072478_zpid/
"2226 Metropolitan Way UNIT 1131, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,119500.0,,65300,2018,4.681,1.09,110343,110343,1050,1,1.0,705,1994,,8,8 days on Zillow,DAYS_ON,71085544,71085544,https://www.zillow.com/homedetails/2226-Metropolitan-Way-UNIT-1131-Orlando-FL-32839/71085544_zpid/
"4421 Ring Neck Rd # B, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,95500.0,,,,4.681,1.09,89180,89180,,2,2.0,1061,1981,,8,8 days on Zillow,DAYS_ON,2081511138,2081511138,https://www.zillow.com/homedetails/4421-Ring-Neck-Rd-B-Orlando-FL-32808/2081511138_zpid/
